,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
1687019293282.0,-3.417922238243816,-3.3226830820496103,0.9409347397832871,-3.4163962399772307,-3.3220835508149733,1.066417641711984,-3.4087170279507664,-3.325638459139093,1.144748901234471,-3.4107788350918096,-3.3270155158049177,1.216860311669777,-3.4135152782952454,-3.328977801776805,1.2888472693795328,-3.4057959144741337,-3.336415633593492,1.3960370874291916,-3.3790506511945475,-3.348506682457902,1.4951875830782702,-3.418449823668165,-3.3635626454181122,1.3482479284662285,-3.4669272241774847,-3.5211033523792112,1.309102462715859,-3.468420485976801,-3.5522717725762436,1.0784467371103352,-3.4235882859761926,-3.5898594110084567,0.8450940480659406,-3.3997406679015647,-3.3027405615996828,1.351139767460619,-3.364496661305246,-3.1397645353193906,1.3218779157124492,-3.362665779239443,-3.1256247448570496,1.0894815481103401,-3.2966417157615995,-3.1220775874174116,0.8579451351923705,-3.447409768675801,-3.426996458996529,0.9454017150611438,-3.4597991828372914,-3.4265456271568095,0.4905102773381892,-3.5039724516476687,-3.4217785345905063,0.09130196462797911,-3.330554308968877,-3.4678686140091264,0.019371012052773404,-3.388347904018121,-3.2183362212426885,0.9436619290290443,-3.4291025094575454,-3.214339375296806,0.4904533169677354,-3.455425308406498,-3.211263383516674,0.08966067652787099,-3.2809784010003944,-3.25544192232132,0.019020952158223733
1687019293302.0112,-3.4252047931300718,-3.31973450604919,0.9406406820906654,-3.4227963168510604,-3.319273830733953,1.0661249062807214,-3.4144658208512237,-3.3230247862112696,1.1444046295370902,-3.415895079529019,-3.3246425565979174,1.216557230217214,-3.417963076787106,-3.3268972871353153,1.2885990219459371,-3.4091859433137075,-3.3347937457218717,1.3957509476704908,-3.3818871635392993,-3.3470049798159955,1.4947676487124986,-3.4222952125095216,-3.361759145378133,1.3478935051308918,-3.470656372907004,-3.518963877420272,1.3070032466095256,-3.475563886619241,-3.551641115142844,1.0763932379223062,-3.4331198543755326,-3.6023080089491306,0.8442310972194408,-3.4037389301654093,-3.3008735887502927,1.3508582372465305,-3.3715220218578716,-3.1373213130393443,1.3199602622208169,-3.3736524295615262,-3.120742668947647,1.0875845859411177,-3.3012726524627327,-3.107520154703059,0.8577617622142293,-3.4546570044377,-3.4240559113996776,0.9452068853031299,-3.46637446722958,-3.4210490213910805,0.4902555559867676,-3.5093388576180926,-3.4137213680762803,0.09086013532787449,-3.3356509457827426,-3.4594174498350876,0.019285930183486347,-3.395613773113686,-3.215388087191243,0.9432725555689223,-3.43791572881147,-3.2135773809171218,0.4901347978647352,-3.463437343081378,-3.213194807359009,0.0891812377990405,-3.288886377480593,-3.25765493270386,0.018940331299035586
1687019293322.0222,-3.4221704694017627,-3.321318681687452,0.9410229103199474,-3.4196865249572506,-3.3209467277347837,1.0664989843514892,-3.4115901600341325,-3.324660462903044,1.1447943295793326,-3.4133414766399666,-3.326187123029944,1.2169290910101558,-3.4158435383672687,-3.3283049244692973,1.288944221515582,-3.407850344827123,-3.335975441487735,1.3961425681737263,-3.3811473020352105,-3.348077559452248,1.4953231814594663,-3.4207300622155103,-3.3630449804234535,1.3482686113285016,-3.470116296508083,-3.5200338099438793,1.3078621804907076,-3.4737646028545814,-3.5544691076056583,1.0775946785926116,-3.4326396887022432,-3.611275391435958,0.8470768720557892,-3.4020449445307235,-3.3021957875839543,1.3512351622630512,-3.369114071169489,-3.1388507928090954,1.320553073020741,-3.37098300822201,-3.1183315884177616,1.0886365913560885,-3.2977252000848924,-3.0979030214601653,0.859946841208591,-3.451706402996974,-3.4256181374091477,0.9455325462912707,-3.4635019865508103,-3.423271318783614,0.49060374189639316,-3.5070491962195236,-3.4171038076335827,0.09129290648564249,-3.3336419169277156,-3.4629538613199546,0.019154534620603902,-3.392489488928873,-3.2169991960111637,0.9437106166841199,-3.434195430213133,-3.2145315709245246,0.49054712442223136,-3.4599695217323054,-3.2126145161270476,0.0896569247736037,-3.285583599895851,-3.2568819397269086,0.018900180571927792
1687019293342.0334,-3.4237133042273844,-3.3209941023520586,0.9410076202574954,-3.4206911930769044,-3.3208408470753694,1.0664769602161124,-3.4123796121375123,-3.3246502828637143,1.1447511173226363,-3.413985602800006,-3.3262546273299933,1.2168959571176683,-3.416393115017318,-3.328434482868656,1.2889226085351586,-3.4083155200324677,-3.336184066671382,1.3961261892221293,-3.3816159497253326,-3.3482839521270353,1.4953154875420942,-3.4212625178898524,-3.3632619002431445,1.348189730243901,-3.4711001010787115,-3.5201471819379533,1.307869364039465,-3.475062027598727,-3.5587156613699342,1.078086231416756,-3.4380246445100395,-3.626727303359436,0.8495638017386631,-3.402552337568202,-3.3024224137662537,1.3511750378792498,-3.371106980613931,-3.1386511270813693,1.320849293278855,-3.372511668657681,-3.110097046140247,1.0896563940635406,-3.2974938305737282,-3.078003233452429,0.8626202131714461,-3.4530838508522086,-3.4253416077179226,0.9454633864195542,-3.464998885996843,-3.4220253553328037,0.49053002827718484,-3.5082946619036637,-3.4151022825758757,0.09118182222665448,-3.33486324581523,-3.460816448504039,0.01900555639455188,-3.394167045791819,-3.2166367948680463,0.9437519208518268,-3.4364135133712144,-3.214582191449355,0.4906200591480666,-3.461916040168575,-3.2131167988461113,0.0896851658119096,-3.287557369950503,-3.2574150026279205,0.01887443216168891
1687019293362.0444,-3.4220388918544757,-3.322059943657709,0.9411746455541119,-3.418744050798212,-3.322094083689298,1.0666339846138608,-3.4104826186066486,-3.325924825758178,1.1449074447561076,-3.4122243394631524,-3.327502866793417,1.2170432772451103,-3.414856779534546,-3.3296131099263344,1.2890578159602952,-3.4072235709763916,-3.337233540898153,1.396290775638645,-3.3808437908673032,-3.349270635332961,1.4955678546718278,-3.420028018039444,-3.3643999032078304,1.3483071988929525,-3.47061079961297,-3.521284771655295,1.308974282830755,-3.4737117611676163,-3.5658252835971993,1.0803918621652018,-3.441439764997471,-3.6430186627212233,0.8543563046566994,-3.401203043438624,-3.303603387134175,1.3512863550333214,-3.370055672026489,-3.1396190377904714,1.3221275814303244,-3.3691175419021056,-3.101434196810965,1.0923816924102647,-3.2946997953058177,-3.0576456909388683,0.867295147242201,-3.4513125379170835,-3.4264371884967497,0.9455368011374681,-3.4636011664211814,-3.4231435596329516,0.49062572467604726,-3.5072108562313424,-3.416588613186007,0.09132474383192575,-3.3339186322730456,-3.462336761251082,0.0188444707386006,-3.392571697797514,-3.217681826203026,0.9440122930639833,-3.4347933083830195,-3.2151309448108023,0.4908917620201646,-3.4603656967551344,-3.2128470111634257,0.08998238826507149,-3.2861111926906315,-3.2570360525560442,0.01885192715961831
1687019293382.0557,-3.422556324130202,-3.322141168073796,0.9411363293261251,-3.4188318784557747,-3.3223518469800437,1.0665864346482206,-3.4104034185493606,-3.3262516036786143,1.1448431815015743,-3.4120304816029376,-3.327872788021654,1.2169848405926225,-3.4145884909584883,-3.330005608959152,1.2890066691402577,-3.4068948524284535,-3.337652415083486,1.3962430735095972,-3.38049508794383,-3.349684667217767,1.4955192009691978,-3.4197195422152564,-3.364830909388074,1.3482131248701457,-3.4707187724743775,-3.521825128309866,1.3098547240240417,-3.474379920072066,-3.57629945196865,1.0835170560022578,-3.449426973317269,-3.664764488992649,0.8605245829650604,-3.4008315420276585,-3.3040562472540085,1.3511869846202305,-3.370729031954825,-3.1396168129747877,1.3233269707430675,-3.367110048902029,-3.0894052926194777,1.096056065409881,-3.29357158869431,-3.031307990839536,0.8738916071765211,-3.451788588004433,-3.4265320107731627,0.9454552364482368,-3.464302163975836,-3.4225310250598118,0.4905490080535223,-3.5078840182244524,-3.415471316022655,0.09124119011781316,-3.334594231858691,-3.461131775015117,0.018693326352472835,-3.3931076298846254,-3.2177586748903857,0.9440184560891348,-3.4359781174337076,-3.215252983039986,0.4909502653179215,-3.4614358096958924,-3.2131407741282088,0.09001921616214487,-3.2872165770024484,-3.257337775331681,0.01880528095379871
1687019293402.0667,-3.4211200431957254,-3.3230355574642676,0.9411965610856204,-3.4171515655501117,-3.323377044294622,1.0666358394815967,-3.408713121782154,-3.3272953229827236,1.1448867731063201,-3.410384073060114,-3.3288921500800424,1.2170247114228294,-3.413043822362347,-3.330969498634439,1.28903938926583,-3.4055722741725725,-3.338521850237519,1.396290869222851,-3.3793166302922217,-3.3505238936881394,1.4956063996060232,-3.418295252363286,-3.3657511611641993,1.3482287874340242,-3.469841226541235,-3.5229580600715127,1.3115190293445511,-3.4736912311940302,-3.589900542837676,1.0884318806363225,-3.457181429278424,-3.688375904339576,0.8690704216434072,-3.3992905699769396,-3.305015995434241,1.3511815804867824,-3.3694233841425087,-3.140257045881765,1.3252174037526303,-3.361695740823859,-3.0765108202945073,1.1013814028522995,-3.2908882430969992,-3.003656365039258,0.8827652564995264,-3.4504119965045996,-3.4274119769855327,0.9454663808827005,-3.463273576875292,-3.423320213843214,0.49057958782693933,-3.507179757164139,-3.416434082792085,0.09131590839893806,-3.3339930461505105,-3.4621155186732917,0.01854135805726939,-3.3915992434384203,-3.218675119986708,0.9441279673076545,-3.434846966330458,-3.215663918476763,0.4911058637069909,-3.460420406904724,-3.212981032272662,0.09019703243192924,-3.286280215113401,-3.2571072130038736,0.018748916603987583
1687019293422.078,-3.421150034272318,-3.3231675896545645,0.9411072579433768,-3.4168644550962846,-3.3236019612022516,1.0665388619585219,-3.408319960344904,-3.327561676574294,1.1447800527977627,-3.4099286594513925,-3.329177533680357,1.216921501444298,-3.4125633182514608,-3.3312624646223266,1.2889406209368628,-3.405099190277238,-3.3388304462399265,1.396197707635538,-3.3788492095427274,-3.350886349786016,1.495509694392923,-3.417785403132729,-3.366052535655512,1.3480291536628137,-3.4695743279637052,-3.523514404351323,1.3127838158452556,-3.4752364092146424,-3.6046081966871166,1.0946289519456192,-3.468160041207184,-3.7141671923322477,0.879824739587085,-3.3986904928802364,-3.3053480355999296,1.350985245544947,-3.369621545835372,-3.140146044893894,1.326812177181343,-3.3580157903019145,-3.062280140298378,1.1076587186889542,-3.2894626444361452,-2.9736232291203146,0.8941092996352392,-3.4504918884326417,-3.427530791147735,0.9453801642401077,-3.4637620582088653,-3.4229385749354404,0.49050498534961695,-3.507629654707705,-3.415653942622736,0.09123715943478662,-3.3344597824187487,-3.461279686024521,0.0183824555769114,-3.391563229549247,-3.218825591575822,0.9440404295869312,-3.4356058931573754,-3.2157543627400815,0.4910902620752909,-3.4611484128787287,-3.2131902199828666,0.09017087782534028,-3.2870426463923943,-3.2573222743064747,0.018639989135857956
1687019293442.0889,-3.419740899371387,-3.3237635963820935,0.941029061279141,-3.4153261730390576,-3.3242107578576867,1.0664539051446467,-3.4068532951043213,-3.328155136614054,1.1447007353277325,-3.4085847103135345,-3.3297242376282363,1.2168380259682858,-3.4114020852170737,-3.331745168212407,1.28884874753978,-3.4042908302695105,-3.3392314963293757,1.396130505969257,-3.378269001576386,-3.3513640571280128,1.4954918148342504,-3.41679692510434,-3.3664700976492603,1.3477669678626514,-3.4688936153340197,-3.524219002803201,1.3143084494115118,-3.476757705076541,-3.6211101233690357,1.1029254543555327,-3.479502523148981,-3.740434695757106,0.8935522879301122,-3.3975497046128953,-3.3058155910246394,1.350728267269867,-3.3686740719773125,-3.140320297619369,1.32858853950883,-3.3527039403821717,-3.048141308529011,1.1153730840389924,-3.2872975074944026,-2.943849695428799,0.908207048798825,-3.449185766735416,-3.4280958070912178,0.9453280740180197,-3.4631263599804227,-3.423531511597707,0.4904808630091174,-3.5070981480594936,-3.4163448609957165,0.09123276906062766,-3.334016935262262,-3.4620011387145744,0.018188936638569127,-3.3900470014157515,-3.219450945782565,0.9439416022900333,-3.434725484729643,-3.2160097884411063,0.49106530047499486,-3.460394963609532,-3.2130750132746875,0.09016631850471447,-3.286351307475325,-3.2571602307977017,0.018456593399313527
1687019293462.1,-3.4195837328790786,-3.323787903044779,0.9409807510085645,-3.4149439924478937,-3.3242374834622486,1.0663985027815306,-3.406424108833884,-3.3282104364047527,1.144640459513768,-3.4081458254219097,-3.3298014776814293,1.2167802681332307,-3.410990090412948,-3.331850596975048,1.288792804407057,-3.403965083549879,-3.3394019048794115,1.3960801432006853,-3.3779838903886166,-3.3516890945739815,1.4954341032366667,-3.416395666321395,-3.366588042334173,1.3475624116300953,-3.4683705252702786,-3.5247201767045753,1.3157766911794881,-3.4800222997801873,-3.6375865582566895,1.1123869629571332,-3.493024245714037,-3.7675537000519026,0.909541555256852,-3.3970648142242985,-3.3059637285555046,1.3505690295276345,-3.368903656443227,-3.1400732011239607,1.3303785856532289,-3.3484061978986563,-3.033405475434942,1.1243511864803113,-3.2854445070891707,-2.913157280893501,0.9249629100327893,-3.4491361736075374,-3.428087422753308,0.9453367171232279,-3.4636513508730324,-3.423233909331481,0.4905074039555042,-3.5074093743242436,-3.415738527796142,0.0912353592779663,-3.334370467986319,-3.461362168457075,0.018068746484703548,-3.389770803033408,-3.2195080409844956,0.9438390470051972,-3.4352620454688054,-3.2160459426492136,0.4910410361953373,-3.4609279509479896,-3.2132391332977015,0.09013525626025727,-3.286928442431119,-3.257331936364419,0.018320980965095646
