,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1687019293282.0,-2.0821461794851497,-3.194880699657191,-4.22376544038239,0.8923704070911335,-18.501509094334498,4.5894090576023086,10.048372012279424,-10.492074063687305,7.012899739173337,3.142792990378784,-1.0144514379933043,-1.8956259726914515,-0.4547522362255152,0.0,6.9361641085385255,2.68824253962544,-1.0015442535948493,5.041198982465627
1687019293302.0112,-2.14112295298507,-2.645661554656605,-5.056766115693808,1.08569336163363,-23.859344319944416,3.8775684913797495,10.739346485965527,-14.736599099815075,6.896760931675236,3.268656397712475,-0.8395527746008056,-1.6909102604267687,-0.5071075263250345,0.0,7.340706079476587,2.7617886988927434,-0.8237788376203411,5.650623160583445
1687019293322.0222,-2.15052417163884,-2.7656847009031984,-4.801703126951413,2.0344727566621694,-25.538498515543317,3.4701190731667695,11.049134006323936,-16.81476097622285,6.932603554947883,3.235124055659449,-0.9348227577330135,-2.1680265194870487,-0.4765931069497682,0.0,7.384575540726823,2.758859600779793,-0.9171543342278192,5.217475109087535
1687019293342.0334,-2.189050479941657,-2.5530566301034585,-4.972490333455225,3.9292552231729863,-29.820172991042618,2.7898633236115455,12.074754925641848,-19.870529192361797,7.200188996238535,3.239174115809284,-1.0368814163509557,-2.3818758055204245,-0.44664693358871393,0.0,7.648918593717522,2.7929204636768525,-1.0180857281881026,5.2680306259355945
1687019293362.0444,-2.2051256827853374,-2.5488061372508453,-4.803392349652845,6.4040682270474525,-31.735255030367213,2.6376468544547214,13.433719457188934,-22.25718734733224,7.6614517438358325,3.1929234375469617,-1.2066663423177741,-2.7748556830182656,-0.39577001299464903,0.0,7.792381227777295,2.797611600367756,-1.1875929332421191,5.018523196901329
1687019293382.0557,-2.2225366828542246,-2.387037575769314,-4.880027863319532,9.471064271435862,-36.351815483130004,2.1315646893564817,15.848957429456481,-25.16458062116455,8.363687007507934,3.173476439228282,-1.2809331174976317,-2.951308977111088,-0.3717283091557306,0.0,8.002886346962827,2.8022453107025367,-1.2617080222200652,5.052578916097884
1687019293402.0667,-2.2199500305383233,-2.3552393817350317,-4.757950881191457,13.08066291400705,-38.93201043573916,2.2010145713324962,18.854934224220532,-27.680351775855236,9.213646635839394,3.128721501598552,-1.3635406097594633,-3.2007581934973808,-0.3449101339573494,0.0,8.126153295175241,2.784346299857599,-1.3442926969373028,4.926388286746203
1687019293422.078,-2.1828520494703385,-2.26198010441181,-4.740703919592661,16.84770719491461,-44.137579389623,1.6781803182194177,22.497043500600476,-31.001412659549242,10.07133981887373,3.1345794920359618,-1.4157786601009834,-3.351740309941821,-0.3449550883442356,0.0,8.276827215446659,2.790217040087106,-1.3955674031844192,4.926131922921451
1687019293442.0889,-2.0790460903675116,-2.2942517153558537,-4.515847405230431,20.81344453606649,-47.60970028809169,1.6958675668943133,26.64816324193712,-34.64045584577686,10.907895621683,3.151087116481327,-1.5078089865431907,-3.6001545634919743,-0.35710924629241064,0.0,8.335250548578571,2.7946802682883614,-1.485372043116134,4.736260349720642
1687019293462.1,-1.999554637014843,-2.3121089510412816,-4.41001613174124,24.884482378632885,-53.333201263700964,1.0901358979833393,31.16210219331912,-38.55731217657686,11.465988776947821,3.220422744869011,-1.5222489002558541,-3.730160380360891,-0.38669082386257314,0.0,8.43366405864358,2.8345531303300913,-1.4970454955275736,4.704834603674634
