,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1687015537349.0,-5.699338083492819,4.8021802379617915,-1.6865827209235598,-1.2435760437429855,-21.821742656362584,7.486744404569559,8.81451963016247,-2.927980598194478,6.50351043123084,4.478604342268466,-7.955259526993224,-6.141337201919156,-0.9203594333450066,0.0,7.940607096964111,3.5627509501706127,-7.86461170663101,1.8009556239633073
1687015537369.0046,-4.976915275638866,5.766173368430446,-2.8114779531343683,-2.0278272123953798,-19.705736130874463,7.585262195288163,6.5303564630846855,-1.625155865347916,6.923122117551451,5.2733686088824125,-8.341842135450216,-6.15913831002707,-0.5228755688050342,0.0,7.985705588121825,4.753800279632567,-8.282474373446735,1.8334548072478343
1687015537389.009,-4.979162670031207,5.276834132007084,-2.4320266465781075,-1.6689381981871783,-21.678602624061526,7.676828550031218,6.706496687996069,-3.0054480198806584,6.843593563895338,4.750890860410097,-7.97029124438591,-5.94470498712648,-0.7762784086648374,0.0,7.9072154167671345,3.9786395722138783,-7.891239422271723,1.9676417914629993
1687015537409.0137,-4.6422672323266205,5.465694643898842,-2.9162100261387365,-1.278151956694857,-23.528150418287428,7.847941724478887,5.8169782940184005,-4.669783896816096,7.227236363254871,4.819297929163818,-7.864085606390388,-5.86745645679441,-0.7006605734930123,0.0,7.873279663228766,4.122397541134697,-7.791266473384926,2.012107706218144
1687015537429.018,-4.48037975869539,5.221458304371244,-2.9198453109781233,-0.2567943038895311,-26.920653804957873,8.005140086998628,5.9460842636544236,-7.297581122271845,7.490913298302295,4.466437304048075,-7.584071733335971,-5.781614703896118,-0.8143504676535298,0.0,7.840314000593482,3.65615996014631,-7.502585499636643,2.0640341269375186
1687015537449.0227,-4.008987940621702,5.32837885258191,-3.183056305968189,1.2155616050139717,-30.55719194874999,7.839362667886172,6.122955450272546,-9.925004768415157,7.856932837405974,4.321639215311345,-7.6115957081915,-5.939895647314927,-0.7565951809485668,0.0,7.940708008081305,3.569161954205064,-7.532492277438549,2.006595983713027
1687015537469.0273,-3.593752275881549,5.190938602686974,-3.10874275819097,3.287136212305187,-35.25367841325773,7.501539676285114,7.188103743318379,-13.132682759828715,8.081969385508147,3.9021753312009237,-7.6008977076914865,-6.157558418486123,-0.8042872924559757,0.0,8.082495866317897,3.102464666542095,-7.5151478506060485,1.9299100774598639
1687015537489.0317,-3.219692535824821,5.291364241103979,-3.19417014366727,5.7996742807644,-38.625042591322874,7.165072189858659,8.378214594303824,-15.398277419078477,8.593998841469723,3.7273036429375246,-7.6472992483645585,-6.318852527354213,-0.7504090763563687,0.0,8.195452868431838,2.9815065124555185,-7.5639847143238415,1.8816982357900884
1687015537509.0364,-3.10415849848366,5.219255529810843,-2.9856981332363475,8.969836047509142,-41.06413221200375,6.980450657028031,10.334126313298414,-16.841404888206423,9.216323558206145,3.4504493164930974,-7.538972111747464,-6.325140550023994,-0.7766152875033481,0.0,8.240213352937005,2.6785069326645745,-7.453861497291394,1.9194345833992035
1687015537529.0408,-3.0150513217219457,5.360194377764957,-2.9542173536278127,12.399444953862693,-43.11306686089834,6.784977696334951,12.472717213696049,-18.325944976995395,10.117315900977228,3.3641053737022735,-7.517700997616888,-6.327936266212473,-0.7406040603588964,0.0,8.265154806033323,2.6280554249487285,-7.435508325488372,1.9416792669508167
1687015537549.0454,-3.1175117681093605,5.4267154272201665,-2.846267036440776,15.96706542228233,-45.826716456076596,6.753387719127412,15.334679473941176,-21.132761298589777,11.075442941403956,3.2243578669594917,-7.4620587157993565,-6.302451805488127,-0.8052291039494879,0.0,8.231661232990632,2.4239525756278266,-7.374008027515666,1.933406302209685
1687015537569.05,-3.2597570610446933,5.6899223002339525,-2.9271852172119113,19.685726326848826,-48.58156728162937,6.659087765969082,18.4720468787169,-24.51100204343865,12.171806477026346,3.2538541252686786,-7.498203477096397,-6.284897038315815,-0.8332199798011173,0.0,8.172778321492233,2.425672687282441,-7.406538591374283,1.892548151464503
1687015537589.0544,-3.4799044704831195,5.962764074655361,-2.983854329957202,23.54442809521818,-51.63907584278255,6.537602572238192,22.030603741872405,-28.19721078197341,13.461343821358003,3.205593570519007,-7.557385514987269,-6.208964043244674,-0.9084586363891409,0.0,8.098636314140192,2.3024304068347314,-7.459375213890731,1.8942705878010633
1687015537609.059,-3.660178338224662,6.484457620771529,-3.2692977177462055,27.505263903718372,-54.85199404155544,6.131782186300136,25.69817093750657,-32.053713243299846,15.026673883144754,3.261464369963612,-7.76381531121646,-6.113321453311633,-0.9248614889506526,0.0,8.025252120094349,2.3418836410963273,-7.664972006803862,1.9168639767974995
1687015537629.0637,-3.9238518603240733,6.985193558070625,-3.5008338289074237,31.557944930661872,-58.168320753118586,5.716887315559314,29.748994279994427,-35.85409532236867,16.790647535670416,3.2864712829460303,-7.950558289105588,-5.975700926513692,-0.9929123313056875,0.0,7.948783010790899,2.298929387189227,-7.8473345003831945,1.978019434560907
