,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
1687017218900.0,1.0870955866360177,-1.2307087377344006,-0.164158879445015,0.4278851039331415,-0.593025562339875,-5.896086100598927,0.4278239526782944,-0.5930697625892377,-0.07565388425856659,0.36480482547899995,-0.40982645305617155,5.780176482655783,0.8172733649822037,-5.415182858905156,12.432714319769579,-0.69000186157516,-10.146551956189944,-12.784038308357655,-10.124355515794155,-3.4867445958643324,-0.7972711376800641,17.92724948464992,-9.55867920517757,11.062374070920932,-0.119541190624256,81.83155012828041,7.850033835179965,-2.854734557642575,20.899669439006036,5.084039463658216,-10.347272836822274,-5.19561625456301,0.6727773659820259,13.463739703909336,-23.919383548138747,10.514774557103323,-0.5711611495847733,77.39759102107078,10.72160674131824,-4.89015222969434,-0.3792072208113017,6.587045625333015,2.580995873611116,2.000016640029886,2.2549972504064875,0.11858454190122097,-2.8223097270053894,5.192579867621495,-1.4217996251519276,-3.6431104420401965,8.174788651862928,1.9289515232649715e-05,-1.0580600172306248e-06,1.245863023776617e-05,2.0506074463206283,-5.469579036347646,-1.438131634776481,0.16733793698695482,-2.2756314632672554,0.5472430638926011,-2.7525428510238066,3.992962238112217,6.880460429526909,1.090440325233393e-05,-2.6055563327478484e-06,-2.2113549851232457e-05
1687017218920.0098,1.06389705128636,-0.8097481922703287,0.20387335529933354,0.432590862876145,-0.40637316028418136,-5.734022438816364,0.43254869210218194,-0.40641799641562554,0.08640954757903793,0.3535219841200904,-0.2703442184354353,5.9018559289981445,0.8165503920802887,-4.647818191750691,11.942332668190161,-0.45440690365385294,-8.751547122025165,-13.764753172594354,-10.71349424266309,-3.7498427390244147,0.08524797547738729,18.544497114336426,-9.298506571213988,10.479784135593391,4.973369404603181,81.26592235760033,3.2088910299549513,-5.284032515709052,27.676296319297165,4.96826569471369,-10.780828248699494,-5.829464460767213,1.6935056912518887,15.124895552098778,-25.46361722907054,9.099773537786948,1.3978940483887656,78.63424302432995,8.178546014251006,-7.767129208877601,4.580120546666471,5.812443352312029,2.899094025219036,1.5264023079178257,2.5137335865202584,0.1278477724104805,-3.5904792550655733,5.284889729758035,-1.7079033725871624,-4.100782351193262,8.384926375980978,-1.9459536335400206e-05,1.0765090771946206e-06,-1.2606902540469487e-05,2.0976244208790695,-5.0840091706134025,-1.2756695377504106,0.2271622894349159,-2.8908752024922966,0.4555502157529228,-2.886769292113559,4.012086191858109,7.003094768308908,-1.0743649691446526e-05,2.5956330985554835e-06,2.189869660560735e-05
1687017218940.0198,1.0440471581124546,-1.0308191811319425,-0.010647905605860954,0.4156125314407889,-0.5028714441732962,-5.828669624931631,0.4155607843409703,-0.502914168627672,-0.008237981705418113,0.34845562000487973,-0.3435559461605071,5.830804509265871,0.9532795567166134,-5.160807634636231,11.737704831986981,-0.413928906173029,-9.737440153746537,-14.11332638425213,-10.731112524304164,-3.843614773062699,-0.23916099635540725,19.583439614599207,-12.68197329123864,11.641159601200881,4.1003481140100915,77.65224932473899,5.05796992914339,-5.073658916698761,23.65409496545099,6.324627273711265,-10.38804455053254,-5.942632319085462,1.089012032325552,17.09378800953167,-29.194986667343038,10.360630484577465,-0.42360171409924474,77.63059819440672,9.7596133968351,-6.986180882342786,-1.0688979482864367,7.487927465993886,2.6378017711484687,2.018243013648506,2.550580394332786,0.2231349280975851,-4.004832203697184,5.18589523052755,-1.6607839433192186,-3.5093150521598573,8.11482962533601,1.963320296312271e-05,-1.0953682046756555e-06,1.2758795070391167e-05,2.043139976011862,-4.857074039214274,-1.1769870595810443,0.35538599965059464,-3.2304724708452186,0.45328700682140616,-2.9093305171129034,4.191016904290305,6.83470492105172,1.0581984249523405e-05,-2.5854554300518803e-06,-2.1683588655804218e-05
1687017218960.0295,1.0073208010911505,-1.050149079339046,0.059527160055064254,0.3975401525406247,-0.5098453964063028,-5.797592724003746,0.3974882669502268,-0.5098876751129321,0.022838563064107746,0.3353635937459385,-0.35016485522360696,5.854131758694721,0.9491150130026317,-5.040228052118932,11.21152140750902,-0.42137906896249155,-9.514907053159483,-15.102593058480544,-10.659198939064387,-4.256518245932652,0.7554953210387723,20.98881129249431,-15.397909154949268,11.805173125169308,5.514456777433136,76.07152291046073,3.441282357679313,-5.593624220036376,23.800787836474978,6.572421075322305,-10.071638842649273,-6.498308828082633,1.4744673684154803,19.774024361527253,-32.78531100433921,10.170081237165157,-1.081083124230253,78.59472629514934,9.123895248674376,-7.614227700443234,-1.647580547596581,7.6390641689242,2.6476356787693827,1.990039866625676,2.731313074943845,0.2505068936226953,-4.472135164489303,5.194951285233519,-1.7385595514380596,-3.469635709762573,8.11426555138557,-1.9810640556750595e-05,1.1146509070642796e-06,-1.2914442084422225e-05,2.0885041201472383,-4.624842724589226,-1.0095022297679024,0.4185280196981445,-3.559804090723897,0.42362449047994655,-2.984731922939418,4.247117331098092,6.838534731647877,-1.0419372298882135e-05,2.575017461481366e-06,2.1468173890080478e-05
1687017218980.0396,0.991067286415695,-1.2729563707582088,-0.0290015386791722,0.38108087356390774,-0.6074853212007365,-5.836328809251715,0.38101863629067717,-0.607524339169437,-0.015896417211461917,0.33062822095863953,-0.4242358925917324,5.825042577729262,0.964723647628238,-5.292763608657324,10.800962213576968,-0.5198773720988387,-9.976684264643369,-15.845513248142788,-10.313901191110999,-4.5815500838724965,1.339908368318073,22.9359230652934,-19.106534613829936,12.700020551778499,4.904875272395304,73.83651929535402,3.7106178854791656,-5.220840375551765,20.51322677243715,7.066198288630049,-9.45743664219378,-6.852803832924377,1.3639056833833014,22.725463845686324,-36.81475169678315,10.728936716351338,-2.789404276931478,78.63667665880035,9.556897328922322,-7.107935369839668,-5.5912589707591325,8.469281394191084,2.4904842585629714,2.2633517118542876,2.810035734480965,0.2964355612188156,-4.783278110616128,5.137931121849231,-1.713557977215017,-3.130702528903678,7.9693461218688055,1.999198038554859e-05,-1.1343712786983409e-06,1.3073984350100659e-05,2.098613769626025,-4.490902215326428,-0.912880328244845,0.49608364288481743,-3.777617011159849,0.40319495378657527,-3.0178687970351175,4.34112689054764,6.7609013001122324,1.0255778330858094e-05,-2.5643131082339703e-06,-2.1252399268622907e-05
1687017219000.0493,1.018127862194418,-1.3723589019350493,0.06747239514390958,0.3878578516707528,-0.6528107446481515,-5.793166808407292,0.3877909209116169,-0.652850821371348,0.027263930812648145,0.33903362851111174,-0.45757389538537385,5.857443686009871,0.9002344440205764,-5.220704472263704,10.363557945361903,-0.646114144828695,-9.81562109876976,-16.6600105539839,-9.86058719950107,-4.890740326110269,2.077195351978775,25.65264432213713,-21.640226772185784,13.80796044231786,5.19764767053103,72.75371080893136,2.215856477351664,-5.29996352421085,19.50574740869111,6.718019685636571,-8.932955466712201,-7.201170938379772,1.5836927806852832,26.09271451551235,-39.90696923514737,10.708002768131694,-3.375524369249729,78.76262328141303,8.690591803983585,-7.442727643308309,-7.486218748369056,8.639298198700294,2.4857233355897344,2.3543074160146293,2.8517391398115604,0.3113373567523597,-5.0901179180438545,5.104548310305158,-1.7656298956040961,-3.0670483180220867,7.939568394914052,-2.017735988752474e-05,1.154544033238729e-06,-1.3237569528046242e-05,2.1162509041940103,-4.447123904104272,-0.9360294308760851,0.548775458523659,-3.9998385712261646,0.30841771229078346,-3.061321309077119,4.381459109026721,6.764660848999869,-1.0091165918548808e-05,2.5533360570110097e-06,2.1036210785254214e-05
1687017219020.0593,1.0780856371746603,-1.5876251834516595,0.08697933809056795,0.4048757580427031,-0.7507540155988631,-5.7836880387611105,0.4047985351237595,-0.7507952119201186,0.03674343726698743,0.35921883408654026,-0.5293629890978517,5.864565154242943,0.837171322975626,-5.358057943643709,10.04198815525136,-0.8355570866521801,-10.034585363476902,-17.240757232555985,-9.197192092131145,-5.081211984234108,2.4370556471057623,29.019192902770936,-24.472285431905803,15.61404740708291,4.173203692107592,71.44691137585815,1.7778702280632783,-4.788118653627565,16.457202006925776,6.3303851878041,-8.225289270150723,-7.363183620539607,1.4767628912482014,29.723290701585746,-42.940605019443225,11.159033418063785,-4.335895899783801,78.0559838159711,8.356670307325283,-7.163160867890038,-11.552208779401209,9.153452713571646,2.3903764401388323,2.6437843067244122,2.79398644879375,0.33483883200978487,-5.2760956779449515,5.021676256848839,-1.7603250676047064,-2.834745974206222,7.819309876833132,2.0366923039677926e-05,-1.1751845378870465e-06,1.340535260005036e-05,2.100812819016361,-4.502336548099114,-1.0575421654281678,0.609622704800603,-4.148945280816303,0.19823081545351853,-3.072246833982838,4.441216703936682,6.721923091001589,9.925497659970546e-06,-2.5420797578424237e-06,-2.081955337144006e-05
1687017219040.069,1.1482103429088995,-1.6834343543934356,0.16832069908109554,0.43096201529141265,-0.7964300450130591,-5.747044203873559,0.43087958917596936,-0.7964742989091919,0.07338757799747239,0.38207214264311024,-0.5614904127303076,5.892103874826799,0.7409369183519976,-5.286670167614627,9.755420943463957,-1.005650936022547,-9.86080547204035,-17.772271400174347,-8.653027931842068,-5.196621614253404,3.1225716979136897,32.88341821821509,-27.152539606497925,17.133257984569404,3.80659618341119,71.0815581242058,0.5503953239138746,-4.356405710514573,14.165585462495502,5.702502069032692,-7.556284169282415,-7.689879786371086,1.8026883768966058,33.40790911866532,-45.26705924283694,11.400467397724633,-4.426036505777095,77.30746148816199,7.244949575186479,-7.284803416538992,-14.209494024373353,9.091130483638278,2.377598628896899,2.743991924975954,2.7872852633861793,0.33973425444986605,-5.45112254923979,4.966355695192965,-1.8041071384995835,-2.77573326943489,7.7570541425530894,-2.056082075242534e-05,1.1963088501866414e-06,-1.3577496314269462e-05,2.1127135496958034,-4.493390777847344,-1.1469635419358288,0.6597502207845833,-4.366566106195206,0.09067185073532606,-3.093704611330248,4.458353596040658,6.723804649940185,-9.758735141243692e-06,2.5305374139329245e-06,2.0602370846476452e-05
1687017219060.0789,1.2330159536422411,-1.8221110297732939,0.13618338157989385,0.46250465329901463,-0.8615395302602574,-5.760581282256536,0.4624160297799115,-0.8615872695435539,0.05985151174116421,0.41060692777527547,-0.6076608153832901,5.881999058093569,0.6558734225116625,-5.3686054005704555,9.635897831314601,-1.1976075767323702,-9.970301184584066,-17.98126997609371,-8.153255686424393,-5.123416207087864,3.6983659223782186,37.39284733215535,-30.726849874209744,18.69243703276427,2.3945305245241046,70.79721889017452,0.43730798006765886,-3.321661034146605,9.567688354599257,5.180483984215566,-6.727024720734135,-8.012757003725516,2.0898580221053336,37.05916045981142,-47.18822391182242,12.31780785270705,-4.443688965995018,75.72327504015587,6.492001315296813,-6.813837640354177,-18.433877434474788,9.063811080966554,2.2807855963653374,2.9293222650511184,2.759398073897762,0.3521103646628549,-5.521015205278487,4.878700747815643,-1.8081545241487473,-2.58876446334403,7.6087291958557195,2.0759211294449272e-05,-1.2179337571384316e-06,1.37541716719744e-05,2.119889446155351,-4.438844935244417,-1.2330103621214938,0.7248422703808457,-4.611839053555174,0.004679191679856809,-3.093638167952012,4.482825611606307,6.682234019596587,9.590838875831787e-06,-2.518701972166471e-06,-2.0384605829695093e-05
1687017219080.0889,1.322015097676507,-1.867866971379505,0.16819999714313394,0.49945118993708365,-0.8858519117791495,-5.745877096141777,0.4993597293800303,-0.8859034149837725,0.07455510103729299,0.43997473680773413,-0.6230055057293705,5.893107526056101,0.5604432691341174,-5.299895878987654,9.512343071328495,-1.3536413850321203,-9.802590852838359,-18.210161958545555,-7.702354177646738,-5.0262424712706215,4.441526673227271,42.07664911894305,-33.61351746581117,20.226848408411414,1.607003139330974,70.80183127227012,-0.25789656122555715,-2.4178540372650166,6.021533541654931,4.289124630426551,-5.967330709337829,-8.43545310733483,2.6629169634384353,40.836871301929285,-48.53735565001433,13.258597283585361,-4.004565224115054,74.18731106923151,5.297209071607237,-6.631807536746673,-21.558170057600798,8.65993687313547,2.2585881138768475,2.975611542879687,2.791452154966294,0.3525457450154305,-5.602769300139398,4.823683612386919,-1.8462315266718328,-2.5291980605900317,7.50574354011048,-2.0962260747340725e-05,1.2400768171167674e-06,-1.393555844645743e-05,2.137912769483249,-4.36341643584818,-1.2603719808987897,0.7750547694097946,-4.866530500311877,-0.051164222031488904,-3.099310369124632,4.4782374607999,6.67567033264999,-9.42176825384684e-06,2.5065661124805605e-06,2.0166199661489676e-05
