,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1687016630229.0,-2.902881551951371,3.943761641899893,-5.394570295478351,20.91767762910453,-43.02498130617213,8.3062566726121,32.39125188089352,-32.780830159814755,14.53439258252343,4.315260615542227,-5.27409040963045,-2.3167440145244624,-1.7508023664343222,0.0,7.269307313877576,2.5662951191938554,-5.197846796101156,4.9570383814136445
1687016630249.0063,-3.0111724204401544,6.8581449645467885,-5.64453000988735,27.37464473622566,-45.80220942553427,9.75206119274638,36.86816735632244,-35.12890813826582,17.287339628046063,4.336901765008619,-5.390442851755964,-2.0817336110977545,-1.5341659119228825,0.0,7.1797551562867925,2.803596513888192,-5.33669673585191,5.101406947653853
1687016630269.0127,-3.269799982054554,6.179000752863642,-5.786931742959706,29.62536486392814,-48.842749402729055,8.693080677030695,38.238795498747,-36.832251161549586,16.83460714055599,4.519016962977428,-5.6211184978209925,-2.176497471099404,-1.602250725911801,0.0,7.1039162857941855,2.9180014094029163,-5.559092383340383,4.931414150341087
1687016630289.0193,-3.553566813028916,7.251550159570544,-6.145573936630087,33.761302359115994,-51.650863480953454,9.041511242555003,41.33808876937015,-38.40687891491885,18.418404652385313,4.739330216006759,-5.764851945554229,-2.0813299415570805,-1.5310359437917715,0.0,7.07435481020228,3.2092439516892073,-5.70996050909629,4.996856876544969
1687016630309.0256,-3.848304563641916,7.1820776167345075,-6.351476170225028,36.69254089882895,-54.22412171281011,8.74053823823018,43.504074257064744,-39.248899298507425,19.433543279038723,5.006888218839,-5.9282967223720435,-2.1338561220178107,-1.5459147540613731,0.0,7.075250939205869,3.462086237129842,-5.8700506224102655,4.945668135074125
1687016630329.032,-4.0227364100627785,7.821428593293862,-6.309735344978832,40.818062357991536,-55.98041414006709,9.351947575739533,46.43434966464083,-39.1843295235359,22.06642801161247,5.21773621042888,-6.0311138218978195,-2.2388853258359487,-1.4937765135908516,0.0,7.125091210984495,3.7250636257308756,-5.973090568591251,4.890757543271405
1687016630349.0383,-4.1610685015014415,7.7210878893412165,-6.029450983733881,44.361128315371886,-57.15629126107766,9.854650262406688,48.759875176454564,-38.03432642956048,24.93138752299925,5.4370988036275625,-6.134017229279332,-2.4859037898890937,-1.4929760816042892,0.0,7.207859707872096,3.9455493514991824,-6.068783981235533,4.727264202829313
1687016630369.0447,-4.268203732008401,8.006705015269855,-5.534309045464721,48.64139603139827,-57.75569040443367,11.35881796882501,51.62747298996233,-36.38848670801388,29.171814902657704,5.645595729114746,-6.152541008113259,-2.7182841675564324,-1.4534345758705145,0.0,7.26214551340647,4.1937738162995695,-6.083680967146684,4.5497933784865205
1687016630389.051,-4.362962337508938,7.6303365974843596,-4.706467845319659,52.45313725236349,-57.65465330751859,13.399896608761791,54.07340863769675,-34.008588091122064,33.951916925413215,5.870737908456755,-6.106098637809315,-3.0571514312437897,-1.4537688048085817,0.0,7.284390997905474,4.41904690443587,-6.028173828474564,4.2342027495423284
1687016630409.0576,-4.463468434494511,7.6469708551861935,-3.890331161886942,56.865848511948705,-56.76562653143725,16.415909995501767,56.7127405428276,-30.394550921291476,40.40382077457626,6.100245894916294,-6.059998843437543,-3.2892314801139166,-1.4306199481789954,0.0,7.287284381928942,4.671966914652737,-5.977771606734781,4.005797290359451
1687016630429.064,-4.644227311866347,7.465809678123418,-3.218466143812889,61.07543403012617,-55.45206402684698,19.465759814732568,58.59263870721003,-24.94063527755352,48.10288009964964,6.373597794246497,-6.156331221288122,-3.3902291635728443,-1.4517130632258646,0.0,7.266209131715331,4.924426725944355,-6.0700764919376615,3.8844457232738603
1687016630449.0703,-4.8657321992044,7.684833123620197,-2.6946228989347785,65.78409457367198,-52.97758337888276,23.735499617419933,60.139662155358685,-17.88093113211233,57.66875116665007,6.660827327142788,-6.303687354316286,-3.324305584083011,-1.4591036528936097,0.0,7.225500118188585,5.204163162379245,-6.218827101224158,3.909991759194019
1687016630469.0767,-5.139111712662711,7.616486331858009,-2.60040483413589,69.98549418530929,-47.71949704563967,30.41697753424891,60.693426052007254,-9.580145195279428,67.89905196967493,6.961771169921762,-6.37628440745902,-3.024676860661339,-1.4918850423080703,0.0,7.178461283387773,5.471967319051317,-6.297104239842352,4.1623331664889225
1687016630489.083,-5.447299687268656,7.788695005426476,-3.0485251545071606,74.05576966534561,-37.51413189402782,42.038768383508156,60.66734506403522,-0.5721257449771802,78.8656492009653,7.251655338099942,-6.314472825997667,-2.3828104726218835,-1.5050955450792127,0.0,7.117932209988573,5.747843840250449,-6.251739355486348,4.742250076789184
1687016630509.0896,-5.779121680157696,7.81060558686811,-3.6690119180699337,76.74789003641243,-20.601737116013876,60.0651499905056,59.399760418576754,8.584420495196035,89.58731589491583,7.568735251703138,-6.277859145511057,-1.6799951783948002,-1.543239425532335,0.0,7.073787090190303,6.0261727592391985,-6.232178137406958,5.399172150616527
1687016630529.096,-6.080373989705483,8.26409897294052,-4.387326307720684,77.76016375424655,2.645163856869827,84.32879908836958,57.26642941963609,17.210070416973366,100.01925788517725,7.929525731490474,-6.361192855523398,-0.9731323255304342,-1.576495681610314,0.0,7.08037334844284,6.353238852493044,-6.334482406370329,6.110589020308553
