,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1687015248630.0,-0.12482896831456251,0.2807931418496497,-0.7425788808768502,5.571916890595414,-21.224226624596607,8.392805912613047,7.679995982458563,-21.016147622981773,14.428200732858116,3.004552782121383,0.10118174993254399,-3.158229736811573,-1.2180557281090905,0.0,7.346245005166385,1.7883553756855768,0.16846661914582628,4.190945443764358
1687015248650.009,-2.00340056600418,1.4445063012715955,-2.3529713178458302,5.469994784566818,-21.862009643788685,9.45918286242315,6.862939686306757,-22.768837824209935,15.085215122391107,2.6604924788518587,-0.42434689506068657,-3.1166558495926764,-1.1919280683521407,0.0,6.139546254295395,1.4703211022671898,-0.3595903195139462,3.025177381882778
1687015248670.018,-1.2691681155787047,1.171504868644408,-1.4562024135579208,5.8866802453915845,-22.31346921346705,8.647953822319002,7.170081382914333,-22.184851528338047,14.68695583379258,2.7950477346521336,-0.17838575862309936,-3.1398716950182832,-1.2213876627413975,0.0,6.557382124055889,1.5754955926946737,-0.11143242561631259,3.4200890970511204
1687015248690.0273,-1.745994067827632,1.696169957225805,-1.7445995963120984,5.987946788029338,-23.16681115166422,8.575932263099654,6.90138905843362,-22.729661917664295,14.789630326647874,2.6835599040165468,-0.2922461283680385,-3.165379889583338,-1.2106092418133194,0.0,6.231571875664572,1.4747940115721914,-0.2254016889079737,3.068599439744562
1687015248710.0364,-1.4176772697981157,1.8972880506237328,-1.3014951776337662,6.2162881398938845,-23.892661266418504,7.928131213914011,6.960482531808684,-22.543029701726518,14.579635446414532,2.7231221492966253,-0.1672291679416543,-3.2057285428550535,-1.2175168730360781,0.0,6.408068262771806,1.507510561324927,-0.09911234515722775,3.204867667816335
1687015248730.0454,-1.6648014205542823,2.66345867118842,-1.4972883094395038,6.290888635711979,-24.483286596101827,7.682020509553062,6.725250872359658,-22.84209573718057,14.637959387777126,2.6610814107535337,-0.2085667871386102,-3.2189387424632128,-1.2148961019525668,0.0,6.225585336329469,1.4480991032309163,-0.1403415630153999,3.0090827834529428
1687015248750.0544,-1.4215339764236903,3.341001508826258,-1.2857330886629823,6.429514214452829,-24.88316544945939,7.105106353263978,6.674823672037439,-22.68240847623386,14.519383153958621,2.6952773929300684,-0.10345362111889651,-3.230116680519405,-1.2257588851942156,0.0,6.344437698703632,1.4714651381737387,-0.03436101570399765,3.1168406156628743
1687015248770.0637,-1.5494763379918295,4.46923056832129,-1.4754989902796383,6.42236209747621,-25.340538624056958,6.833010629534629,6.45062354870814,-22.86666679256693,14.561266608074634,2.6675683760823947,-0.10981854950485771,-3.214099209995618,-1.2268170149957516,0.0,6.21242301692756,1.4426787136655141,-0.04102595103030049,3.0007832581283194
1687015248790.0728,-1.31264082693707,5.639239355924493,-1.3642398855520004,6.4186515246847895,-25.768811018625705,6.365722251639981,6.376596499558387,-22.737191294953238,14.463159204564219,2.7171001566754365,-0.011813599651953048,-3.1789311737471815,-1.236028344489666,0.0,6.279997077107842,1.4829734004005188,0.05675540240569513,3.1035852227483085
1687015248810.0818,-1.3548961332227911,7.13753756610243,-1.5401080883065577,6.307334505923042,-26.179708227819923,6.141576438713283,6.172909071877786,-22.860411128641328,14.483532962098446,2.7177533238335547,0.004458921627031995,-3.133896302401692,-1.2370953752182423,0.0,6.168857343118762,1.4825054741410464,0.07209954049801116,3.0374344169894245
