,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
1687016269813.0,2.947488288726202,-2.371306619482291,-2.5001707796900945,1.2095619000162694,-1.166496075696434,-6.92201244380737,1.2094384874842319,-1.166619469253849,-1.1015752797098644,0.9929942325772699,-0.7758734064087521,5.012855641799883,-0.4707962642528756,-4.970087581274672,9.726687701950349,-3.089053667025409,-8.770439213012372,-17.780978919177624,-8.296417833213619,-0.3934595078093943,2.0403907312417644,47.03586179678912,-42.82047648857666,15.81001003344967,-1.1013048324234658,82.00099123098325,1.2090029636247683,-5.407190104849537,3.979666031160514,8.03571393106622,-8.99341919329498,-8.053819113830738,2.3496864829716793,43.98978693516448,-45.76506547158527,14.683899926357313,-7.022207021736121,79.57162683219273,6.113536062739604,-4.2967279942871155,-21.933258031120946,11.504884149785276,-1.2882689319886769,-10.317574804048055,11.24960174218095,0.6460652394411461,1.8113426063940248,4.797770647041067,-0.19238056561826877,3.145520641629033,7.603376260494417,0.019030823141075997,0.0011343877544901684,-0.6779452474322163,-0.10579308512568827,-10.351463156662899,9.206322315114996,-0.13933993696811492,3.6925106741945526,-0.12402871759498989,-1.2031184883034198,4.350734693869357,5.830328196987628,0.00010920338908937432,0.00014481217229166,-4.801147476225363e-05
1687016269833.0015,2.963284282086353,-2.8648705163443475,-2.384734428138109,1.1975488650613495,-1.3862958476853466,-6.8675591431593315,1.1974068286922763,-1.38641796975018,-1.0471303770676033,1.0012716139363138,-0.9408693418156288,5.054082953404239,-0.10126679224247742,-5.379019743741231,8.89058483174438,-2.6056508943528285,-9.635054234440249,-19.316909361413614,-7.934298874504303,-0.464962907897046,4.339106635259675,53.65601738029807,-51.32599036054438,12.824620171015411,-0.3585740686091713,79.56445723478049,-0.09811929050817078,-3.8390450683790416,-0.9365856326826816,9.170393881492709,-8.02462818324677,-8.967820275546034,3.4092302456070738,50.625356040087084,-52.42563235064056,14.90855252009864,-4.351252779692562,76.50557413535003,2.3884290880495707,-5.008266355823311,-26.523710252502955,12.208640440456236,-1.624024018806162,-10.441859791381242,10.335759178104764,0.45730656251169255,1.960168277719301,2.641873420261337,-0.12988126820813145,2.4375771373805124,7.355431364668736,-0.0074186225186753055,-0.00036800742169249527,0.23376231640367992,0.21756166121069317,-11.807615237393335,8.256311252257428,-0.4774581579167532,2.349647199387256,-0.9702671029692259,-0.9627040281030897,1.7144237981716293,6.351909150638173,-0.00010937711752262472,-0.0001443668068408052,4.791306716597911e-05
1687016269853.0032,2.9717440055005775,-2.6409479374682094,-2.3941403969985484,1.2097163737339038,-1.2874524595899486,-6.8731336680966155,1.209581667527657,-1.2875772152910228,-1.052699607222383,1.0025690461971202,-0.8661876016298136,5.049762845990089,-0.19534847946916714,-5.042954111684567,9.244244228084101,-2.6247061778424876,-9.002613036743943,-18.682308056409656,-7.215026184679742,-0.14212480138359318,3.880515531773682,56.66001996397534,-53.88676822323502,12.277030933404879,-2.165943245877898,79.0565800412576,0.5404537159542898,-3.0435812659254067,-2.8644988013584816,8.090181133979197,-7.474488848643748,-9.169409773272596,3.5192311232998517,52.92323258984605,-52.45306479055978,15.826056110223737,-5.0549596990752965,75.51961301888606,2.781602393638051,-3.4447361148562052,-27.42622590655669,10.825199066611832,-1.4995430404521264,-10.526861447076927,10.643126162140588,0.6041094433718327,2.281941389686532,3.4153229509083514,-0.2453523288080767,2.613719752110045,7.210541799735485,0.004283462275068371,0.00015979678268930912,-0.13385899414238328,0.067239685356974,-11.481364326210564,8.644030221660959,-0.28695446557355686,3.3417898767842162,-0.6151887582590188,-1.0061981164545306,2.4526646753029304,5.957833601741038,0.00010954334544881843,0.00014392534460782891,-4.781460699581646e-05
1687016269873.0046,3.00921545223881,-2.7622357903683654,-2.204130868701118,1.2205930746196936,-1.3437469362703047,-6.787754839909466,1.2204541419910495,-1.3438717625443364,-0.9673259536504887,1.0149558053970347,-0.9075129240932402,5.113940105712349,-0.03227847490921898,-5.080164099092071,8.966272711306859,-2.3520003344411546,-9.131740868268215,-19.20182289569166,-7.018271579111068,0.43176619621787754,4.787967739577527,62.14005177768095,-57.52085049052476,11.46911586615846,-2.328069864363546,76.49552294908842,-0.07386828155991444,-1.289073228567274,-6.483351472494933,7.5451916984223635,-6.8996382250404285,-9.740513314335365,4.390865006347045,57.675591193550595,-54.54919425079303,17.20177822881337,-4.261077924379938,73.20126986924717,1.3461081586776418,-2.8618165369348505,-30.121574515010842,10.551418723151182,-1.5733945769386546,-10.584799336657111,10.409658886209392,0.5703431561352482,2.4426575615251416,2.8655472417872883,-0.2234016360154116,2.4531656288745363,6.946577512419875,-0.0029101587933659137,-6.811974823785328e-05,0.09255201067555947,0.11272353115005096,-11.880008940744045,8.408341159378669,-0.33114315240683945,3.074042091545841,-0.7437806941208952,-0.8915590880827494,1.650077453694799,5.991034244184929,-0.00010970226215575834,-0.00014348772585187118,4.77161345190349e-05
1687016269893.0063,3.0429607210461156,-2.6559757121350582,-2.008528650147954,1.2382623336052394,-1.2992317020390132,-6.7013695557282364,1.238126325750953,-1.2993587561038211,-0.8809361925308935,1.0244609057143599,-0.8731299783457742,5.178709631518123,-0.025310825332403912,-4.89377579025161,9.02961426494843,-2.2621120175638625,-8.803999283395873,-19.098789546353885,-6.714110994631046,0.9508437472787327,4.97914832744271,66.45750683918462,-58.82878235534174,11.620619303233434,-3.160820639555345,74.6056129237368,-0.1222881717852586,0.1140879551378838,-9.074113419086059,6.278858163179993,-6.4737127655073285,-10.059079792076172,4.993099503619396,61.05734040705064,-53.973231931963426,19.287746411749264,-4.524527297195573,71.42461120768719,1.2251572354543545,-1.5968506572238859,-31.62129533145509,9.756668107629276,-1.5161386770147036,-10.613573887992825,10.533547251483872,0.638861958291862,2.6328744280401923,3.2242593808355866,-0.2535141997721376,2.5670172706389582,6.71769769030248,0.0021615549857072385,1.7835776898719495e-05,-0.07041618105088987,0.025355103913458764,-11.709088710951427,8.563142679611715,-0.21587268788656228,3.4828606603107746,-0.4959277459650852,-0.865003460983823,1.889886517885662,5.751467470286832,0.00010985405069368877,0.00014305389224930862,-4.761768852473126e-05
1687016269913.0078,3.0720414420409132,-2.680018235993781,-1.6620768042037788,1.2482205032578182,-1.3131486594166506,-6.547201312988915,1.2480916659186523,-1.3132843492290407,-0.7267696127601412,1.0327305062482954,-0.883093071469207,5.294413481933139,0.06669552081907126,-4.904327111319051,8.748341894661923,-2.111623063529455,-8.855933045239706,-19.62320417852175,-6.477811480893856,0.9265435822582488,6.176076748143814,71.47072265222009,-60.16111872881625,12.673992552814898,-3.464391097229512,72.3983647287528,-0.5641447463024334,1.5179060057853533,-12.25001208273466,5.588416070159418,-5.999244505516949,-10.428409173897046,5.8901710506463525,65.43971164657998,-53.82507178444702,22.120353403087567,-4.181462440445106,68.88485985294045,0.3319107207062069,-0.8341235790996927,-33.92580496220383,9.735712893454364,-1.5908043987590914,-10.609464576331998,10.333921366563636,0.6340325434614876,2.7455255650065773,2.9472852198307433,-0.23890942737904475,2.4815769460112134,6.461781157336643,-0.0016976563605652427,1.3573585608762309e-05,0.05672149537895043,0.07595288562127217,-11.895831161164347,8.35864513398461,-0.22471325513266316,3.2822914580938316,-0.5030720932338911,-0.7751643005854988,1.3774865985030724,5.727144110370299,-0.00010999888809355742,-0.0001426237868513701,4.7519306342756e-05
1687016269933.0095,3.092979307520578,-2.559032945125861,-1.2859695635192503,1.2599171203638873,-1.2627702646905075,-6.380847321240634,1.2597899896657339,-1.2629055926916064,-0.5604123198851018,1.037206040342328,-0.8449822377405292,5.419144142068542,0.04894934377003495,-4.788720746899134,8.655888652408297,-2.1039037469271773,-8.640788361787223,-19.802504422993607,-6.122109951892314,0.6388529353221637,7.073940766051263,75.61752813671961,-58.55354080364269,15.871668000551347,-4.241950551186792,70.760165755132,-0.5965224046681625,2.5940534475331676,-14.703732987886875,4.572160409415202,-5.612322162483184,-10.60675387421654,6.614463901862618,68.87806497267111,-51.045169691243984,26.3545706260887,-4.4897964875330265,66.56228611198365,0.2854738996914876,0.33836159641799163,-35.50477446638797,9.53496631452312,-1.5994648349663756,-10.575662089347134,10.326338957263673,0.6933347045667321,2.864132197782116,3.2198382863848924,-0.2595927730523655,2.5516379883118163,6.237454265006265,0.001384790232847816,-3.4973580114276365e-05,-0.047444030246951006,0.062060387091725754,-11.734680244088798,8.365803979552192,-0.14243653054035732,3.4707923358736386,-0.2869556031289588,-0.7412482364104975,1.4911434481296681,5.545982179494716,0.00011013694559166857,0.0001421973540324063,-4.742102398599023e-05
1687016269953.011,3.1115599409896335,-2.5906008155393065,-0.9497730633888948,1.2649826164478133,-1.2795777016127892,-6.231212180839583,1.2648501178095335,-1.2797070319861343,-0.41078232592846664,1.0420317273104187,-0.8574560890821966,5.531416008459974,0.08273689882232013,-4.762741795001556,8.448622678113171,-2.038887485254065,-8.603464299055965,-20.18930329590755,-5.763004301322201,0.3575390586216743,8.04702897206166,80.1724143722645,-52.59941357898828,24.170650222853123,-4.4684495950783285,68.73158091237119,-1.1507434459021857,3.771613382455312,-17.337940723266133,3.742999216460371,-5.11085895877953,-11.069883230982743,7.429912295827609,72.699120308641,-46.17746086669529,33.360020297268186,-4.133458900591667,64.00991316924758,-0.47520722577729774,1.101798086034001,-37.44003038901918,9.781714948676104,-1.666392419551088,-10.54921021635076,10.167003405203426,0.6894412433246393,2.9105757801744474,3.064553210099644,-0.24614824573173205,2.5093884235328656,6.017636853670206,-0.0011607160598761579,5.04957084295104e-05,0.04075482689388863,0.11838809426101926,-11.817859710276712,8.21125096540759,-0.14531704114934405,3.278984920099471,-0.2288338097901586,-0.665101381081154,1.1262534613885815,5.525542667035681,-0.0001102683888208952,-0.00014177453945610454,4.7322876115097244e-05
1687016269973.0127,3.111454592234331,-2.5729280109807235,-0.7238972489400565,1.2640323756939347,-1.273129040177541,-6.130937686109444,1.2638986309896743,-1.2732597806033967,-0.3105063870948281,1.040598330456615,-0.8529511595830053,5.606589494001586,0.04103173206358777,-4.618177740566246,8.481681217271989,-2.050695680907091,-8.326849929268256,-20.135950973638653,-5.236854366819754,0.1153394534566653,8.136381510891962,83.51316256107697,-32.82480984302685,45.89619269825024,-4.887726565723044,67.06095326267379,-1.6610896343221981,4.775182108472755,-19.173668043101173,2.557007761951347,-4.577819023783698,-11.674022356921537,7.988428267435245,75.23336227910211,-35.47303990607224,45.28046427624069,-4.003347594201403,61.93966833109974,-0.8469479439635499,2.0493084087312807,-38.62040593138036,9.940495744540998,-1.662995454048442,-10.535295752310594,10.20936138972722,0.7174323505581064,2.940469226870792,3.2993689088324856,-0.2550921946859582,2.596008065554696,5.849048271451594,0.0009928711249912096,-6.230302442572929e-05,-0.03570809767583742,0.11709170288582049,-11.658103315642352,8.289657878236929,-0.08878176159386399,3.3868002991639283,0.003747643424244952,-0.6308295610904507,1.231150096242609,5.415755377983928,0.00011039337801784368,0.000141355290028237,-4.722489620850957e-05
1687016269993.0142,3.14409515905128,-2.6870521969363916,-0.5243135036960633,1.2724694424803684,-1.326238172555611,-6.041273564653276,1.2723325629574465,-1.3263705437270632,-0.2208424883070214,1.050830986926267,-0.8921308764844131,5.6739308986058505,-0.00414271082428917,-4.518790535930505,8.431421828672098,-2.0852276015263045,-8.124556951655615,-20.232348993271014,-4.7395189787399605,-0.04706705033252096,8.73139857003051,84.82929205275113,11.947899650212761,92.86405228385867,-4.86779231236805,65.1349643003671,-2.394961797916608,5.76933353621515,-21.238573978500238,1.7223397099915025,-3.9669984549864705,-12.323405221821757,8.635507470357497,77.38336183990592,-21.283730810321213,61.11458631050923,-3.479098835832496,59.552218646254744,-1.5401641858193662,2.7586408464939915,-40.25881570382011,10.361192804599844,-1.7043100096036756,-10.502941046377652,10.100557152771486,0.7036083350239314,2.9164795878309246,3.206103880223622,-0.2436142892982181,2.5829437010007883,5.6818091089689124,-0.0008626959279964023,7.162926706963202e-05,0.031767225603333615,0.1615118228486911,-11.689818026314693,8.200245209375622,-0.09243491441023162,3.2186962842585514,0.0945231481232337,-0.5637947696286891,0.96791014369752,5.416330289202453,-0.00011051206822738314,-0.0001409395538611681,4.7127116524463836e-05
